fullcurrname,CAS_SPC
Pethia gelius,1558
Labeobarbus girardi,1559
Barbus cyri,1560
Enteromius stigmatopygus,1561
Luciobarbus graecus,1562
Enteromius greenwoodi,1563
Labeobarbus gruveli,1564
Arabibarbus grypus,1565
Arabibarbus grypus,1566
Enteromius guildi,1567
Enteromius guineensis,1568
Enteromius guirali,1569
Labeobarbus gulielmi,1570
Enteromius gurneyi,1571
Enteromius haasianus,1572
Enteromius haasianus,1573
Labeobarbus habereri,1574
Enteromius holotaenia,1575
Enteromius holotaenia,1576
Enteromius miolepis,1577
Namaquacypris hospes,1578
Labeobarbus huloti,1579
Enteromius humeralis,1581
Enteromius humeralis,1582
Labeobarbus humphri,1584
Clypeobarbus hypsolepis,1585
Enteromius innocens,1586
Labeobarbus intermedius,1588
Labeobarbus surkis,1589
Labeobarbus intermedius,1590
Labeobarbus intermedius,1592
Labeobarbus nedgia,1593
Labeobarbus intermedius,1594
Labeobarbus intermedius,1595
Labeobarbus intermedius,1596
Labeobarbus intermedius,1597
Labeobarbus intermedius,1598
Labeobarbus intermedius,1599
Labeobarbus intermedius,1600
Labeobarbus intermedius,1601
Labeobarbus intermedius,1602
Labeobarbus intermedius,1603
Labeobarbus intermedius,1604
Labeobarbus intermedius,1605
Labeobarbus intermedius,1606
Labeobarbus intermedius,1607
Labeobarbus intermedius,1608
Labeobarbus intermedius,1609
Labeobarbus intermedius,1610
Labeobarbus intermedius,1611
Labeobarbus intermedius,1612
Labeobarbus intermedius,1613
Labeobarbus intermedius,1614
Labeobarbus intermedius,1615
Labeobarbus intermedius,1616
Labeobarbus intermedius,1617
Labeobarbus intermedius,1618
Labeobarbus intermedius,1619
Labeobarbus intermedius,1621
Labeobarbus intermedius,1623
Labeobarbus intermedius,1625
Labeobarbus gorgorensis,1626
Labeobarbus intermedius,1627
Labeobarbus intermedius,1628
Labeobarbus intermedius,1629
Labeobarbus intermedius,1630
Labeobarbus nedgia,1632
Labeobarbus acutirostris,1633
Labeobarbus dainellii,1634
Labeobarbus iturii,1635
Enteromius jacksoni,1636
Enteromius jacksoni,1637
Enteromius jacksoni,1638
Enteromius jacksoni,1639
Enteromius jae,1640
Enteromius janssensi,1641
Labeobarbus johnstonii,1642
Labeobarbus johnstonii,1643
Labeobarbus latirostris,1644
