CAS_SPC,fullcurrname,synom
2522,Notropis simus,
2524,Lythrurus snelsoni,
2525,Notropis spectrunculus,
2526,Cyprinella spiloptera,
2529,Notropis stramineus,
2530,Notropis telescopus,
2532,Notropis topeka,
2533,Cyprinella trichroistia,
2534,Notropis tropicus,
2535,Lythrurus umbratilis,
2547,Notropis uranoscopus,
2549,Notropis volucellus,
2550,Pteronotropis welaka,
2552,Notropis xaenocephalus,
2553,Cyprinella xaenura,
2554,Luxilus zonatus,
2555,Luxilus zonistius,
2557,Opsaridium engrauloides,
2559,Opsaridium maculicauda,
2560,Opsaridium microcephalum,
2563,Opsaridium ubangiense,
2568,Opsaridium peringueyi,
2570,Opsariichthys bidens,
2573,Pelasgus epiroticus,
2574,Delminichthys ghetaldii,
2575,Telestes metohiensis,
2578,Pseudophoxinus kervillei,
2579,Pseudophoxinus libani,
2580,Pseudophoxinus maeandri,
2581,Phenacobius catostomus,
2582,Phenacobius crassilabrum,
2584,Phenacobius uranops,
2585,Chondrostoma fahirae,
2586,Anaecypris hispanica,
2587,Pelasgus minutus,
2588,Phoxinus brachyurus,
2591,Phoxinus issykkulensis,
2596,Pogonichthys ciscoides,
2597,Pogonichthys macrolepidotus,
2598,Prolabeops melanhypopterus,
2599,Pseudogobio esocinus,
2600,Pseudogobio vaillanti,
2601,Pseudorasbora pumila,
2602,Tropidophoxinellus callensis,
2604,Acanthobrama persidis,
2605,Anaecypris punica,
2606,Pseudophoxinus syriacus,
2607,Ptychocheilus grandis,
2608,Ptychocheilus lucius,
2609,Ptychocheilus oregonensis,
2610,Chelaethiops umpquae,
2631,Raiamas intermedius,
2633,Raiamas longirostris,
2634,Leptocypris lujae,
2637,Raiamas nigeriensis,
2638,Raiamas senegalensis,
2640,Barilius shariensis,
2642,Raiamas steindachneri,
2643,Leptocypris weeksii,
2645,Rasbora daniconius,
2646,Rasbora elegans,
2647,Trigonostigma heteromorpha,
2648,Rasbora sumatrana,
2654,Rhinichthys obtusus,
2657,Rhinichthys cataractae,
2666,Rhinichthys deaconi,
2667,Rhinichthys evermanni,
2669,Rhinichthys osculus,
2687,Rhinichthys umatilla,
2691,Rhodeus sericeus,
2693,Rhodeus sinensis,
2694,Rhodeus suigensis,
2695,Rhodeus uyekii,
2703,Squalius alburnoides,
2704,Rutilus atropatenus,
2710,Iberochondrostoma lemmingii,
2711,Pachychilon macedonicum,
2713,Rutilus pigus,
2714,Rutilus virgo,
2715,Sarmarutilus rubilio,
2716,Achondrostoma arcasii,
2717,Rutilus rutilus,
2720,Rutilus caspicus,
2723,Rutilus sojuchbulagi,
2724,Sarcocheilichthys lacustris,
2725,Sarcocheilichthys nigripinnis,
2726,Sarcocheilichthys sinensis,
2727,Scaphiodonichthys acanthopterus,
2728,Scaphiodonichthys macracanthus,
2729,Scardinius erythrophthalmus,
2730,Scardinius graecus,
2731,Schizocypris ladigesi,
2736,Schizothorax esocinus,
2740,Schizothorax intermedius,
2747,Exostoma labiatum,
2748,Schizothorax microcephalus,
2750,Schizothorax pelzami,
2755,Schizothorax prophylax,
2761,Schizothorax taliensis,
2765,Semotilus atromaculatus,
2766,Semotilus corporalis,
2769,Sinocyclocheilus angustiporus,
2773,Squalidus japonicus,
2777,Garra klatti,
2778,Garra nana,
2780,Labeobarbus altipinnis,
2781,Labeobarbus ansorgii,
2782,Capoeta antalyensis,
2785,Labeobarbus ensifer,
2786,Labeobarbus fimbriatus,
2789,Chondrostoma holmwoodii,
2790,Labeobarbus iphthimostoma,
2793,Labeobarbus leleupanus,
2796,Labeobarbus nelspruitensis,
2797,Labeobarbus pellegrini,
2799,Labeobarbus platystomus,
2800,Labeobarbus pungweensis,
2801,Labeobarbus ruandae,
2803,Capoeta sieboldii,
2804,Onychostoma simum,
2805,Labeobarbus steindachneri,
2806,Labeobarbus stenostoma,
2807,Capoeta tinca,
2809,Labeobarbus varicostoma,
2811,Labeobarbus wittei,
2812,Labeobarbus wurtzi,
2815,Vimba melanops,
2816,Xenocypris davidi,
2817,Schistura curtistigma,
2818,Schistura afasciata,
2819,Oxynoemacheilus argyrogramma,
2821,Neonoemacheilus assamensis,
2823,Paraschistura bampurensis,
2826,Schistura beavani,
