LineageID,NAME,AUTHOR_DATE,COMMONNAME,INDEXNAME,CLASS_NM,ORD_NM,SO_NM,FAM_NM,SF_NM,REMARKS,ClassNum,OrderNum,SuborderNum,FamilyNum,SubfamilyNum,TimeStamp
1230,Alectriinae,Makushok 1958,cockscombs,NULL,Actinopteri,Perciformes,Zoarcoidei,Stichaeidae,Alectriinae,NULL,8,64,6,363,4,48:23.0
1226,Lumpenidae,Jordan & Evermann 1898,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Lumpenidae,NULL,NULL,8,64,6,363.1,NULL,36:26.0
1227,Opisthocentridae,Jordan & Evermann 1898,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Opisthocentridae,NULL,NULL,8,64,6,363.2,NULL,36:21.0
675,Pholidae,Gill 1893,gunnels,gunnels,Actinopteri,Perciformes,Zoarcoidei,Pholidae,NULL,NULL,8,64,6,363.5,NULL,36:15.0
1231,Pholinae,Gill 1893,pigmented gunnels,NULL,Actinopteri,Perciformes,Zoarcoidei,Pholidae,Pholinae,NULL,8,64,6,363.5,1,36:13.0
1232,Apodichthyinae,Hubbs 1927,penpoint gunnels,NULL,Actinopteri,Perciformes,Zoarcoidei,Pholidae,Apodichthyinae,NULL,8,64,6,363.5,2,35:38.0
333,Ptilichthyidae,Jordan & Gilbert 1883,quillfishes,quillfishes,Actinopteri,Perciformes,Zoarcoidei,Ptilichthyidae,NULL,NULL,8,64,6,367,NULL,36:08.0
334,Zaproridae,Jordan 1896,prowfishes,prowfishes,Actinopteri,Perciformes,Zoarcoidei,Zaproridae,NULL,NULL,8,64,6,368,NULL,36:10.0
331,Cryptacanthodidae,Gill 1861,wrymouths,wrymouths,Actinopteri,Perciformes,Zoarcoidei,Cryptacanthodidae,NULL,NULL,8,64,6,368.1,NULL,36:31.0
1228,Cebidichthyidae,Gill 1862,NULL,NULL,Actinopteri,Perciformes,Zoarcoidei,Cebidichthyidae,NULL,NULL,8,64,6,368.5,NULL,36:34.0
335,Scytalinidae,Jordan & Starks 1895,graveldivers,graveldivers,Actinopteri,Perciformes,Zoarcoidei,Scytalinidae,NULL,NULL,8,64,6,369,NULL,36:01.0
328,Bathymasteridae,Jordan & Gilbert 1883,ronquils,ronquils,Actinopteri,Perciformes,Zoarcoidei,Bathymasteridae,NULL,NULL,8,64,6,369.5,NULL,36:39.0
336,Bovichtidae,Gill 1862,bovichtids,bovichtids,Actinopteri,Perciformes,Notothenioidei,Bovichtidae,NULL,NULL,8,64,7,370,NULL,39:21.0
771,Pseudaphritidae,McCulloch 1929,congollis,NULL,Actinopteri,Perciformes,Notothenioidei,Pseudaphritidae,NULL,NULL,8,64,7,370.1,NULL,39:17.0
772,Eleginopidae,Gill 1893,Patagonian blennies,NULL,Actinopteri,Perciformes,Notothenioidei,Eleginopidae,NULL,NULL,8,64,7,370.2,NULL,54:03.0
337,Nototheniidae,GÃ¼nther 1861,cod icefishes,notothens,Actinopteri,Perciformes,Notothenioidei,Nototheniidae,NULL,NULL,8,64,7,371,NULL,39:00.0
1057,Pleuragrammatinae,Andersen & Hureau 1979,NULL,NULL,Actinopteri,Perciformes,Notothenioidei,Nototheniidae,Pleuragrammatinae,NULL,8,64,7,371,1,39:13.0
1058,Nototheniinae,GÃ¼nther 1861,notothens,NULL,Actinopteri,Perciformes,Notothenioidei,Nototheniidae,Nototheniinae,NULL,8,64,7,371,2,38:59.0
1059,Trematominae,Balushkin 1982,NULL,NULL,Actinopteri,Perciformes,Notothenioidei,Nototheniidae,Trematominae,NULL,8,64,7,371,3,38:56.0
338,Harpagiferidae,Gill 1861,plunderfishes,plunderfishes,Actinopteri,Perciformes,Notothenioidei,Harpagiferidae,NULL,NULL,8,64,7,372,NULL,39:01.0
760,Artedidraconidae,Andriashev 1967,barbeled plunderfishes,Artedidraconidae,Actinopteri,Perciformes,Notothenioidei,Artedidraconidae,NULL,NULL,8,64,7,372.5,NULL,39:48.0
339,Bathydraconidae,Regan 1913,Antarctic dragonfishes,dragonfishes;Antarctic,Actinopteri,Perciformes,Notothenioidei,Bathydraconidae,NULL,NULL,8,64,7,373,NULL,39:09.0
1060,Bathydraconinae,Regan 1913,NULL,NULL,Actinopteri,Perciformes,Notothenioidei,Bathydraconidae,Bathydraconinae,NULL,8,64,7,373,1,39:07.0
1061,Gymnodraconinae,Andriashev 1983,NULL,NULL,Actinopteri,Perciformes,Notothenioidei,Bathydraconidae,Gymnodraconinae,NULL,8,64,7,373,2,39:02.0
340,Channichthyidae,Gill 1861,crocodile icefishes,icefishes;crocodile,Actinopteri,Perciformes,Notothenioidei,Channichthyidae,NULL,NULL,8,64,7,374,NULL,39:04.0
345,Pholidichthyidae,Jordan 1896,convict-blennies,convict-blennies,Actinopteri,Cichliformes,NULL,Pholidichthyidae,NULL,NULL,8,51,NULL,380,NULL,34:45.0
346,Trichodontidae,Bleeker 1859,sandfishes,sandfishes,Actinopteri,Perciformes,Trachinoidei,Trichodontidae,NULL,NULL,8,64,8,381,NULL,41:22.0
361,Ammodytidae,Bonaparte 1835,sand lances,lances;sand,Actinopteri,Perciformes,Trachinoidei,Ammodytidae,NULL,NULL,8,64,8,381.5,NULL,41:19.0
347,Trachinidae,Rafinesque 1815,weeverfishes,weeverfishes,Actinopteri,Perciformes,Trachinoidei,Trachinidae,NULL,NULL,8,64,8,382,NULL,41:23.0
348,Uranoscopidae,Bonaparte 1831,stargazers,stargazers,Actinopteri,Perciformes,Trachinoidei,Uranoscopidae,NULL,NULL,8,64,8,383,NULL,41:20.0
349,Trichonotidae,GÃ¼nther 1861,sand divers,divers;sand,Actinopteri,Perciformes,Trachinoidei,Trichonotidae,NULL,NULL,8,64,8,384,NULL,41:21.0
351,Leptoscopidae,Gill 1859,southern sandfishes,NULL,Actinopteri,Acropomatiformes,NULL,Leptoscopidae,NULL,NULL,8,62.8,NULL,386,NULL,55:48.0
352,Percophidae,Swainson 1839,duckbills,duckbills,Actinopteri,Perciformes,Trachinoidei,Percophidae,NULL,NULL,8,64,8,387,NULL,41:37.0
506,Percophinae,Swainson 1839,NULL,NULL,Actinopteri,Perciformes,Trachinoidei,Percophidae,Percophinae,NULL,8,64,8,387,1,41:26.0
507,Bembropinae,Regan 1913,duckbill flatheads,NULL,Actinopteri,Perciformes,Trachinoidei,Percophidae,Bembropinae,NULL,8,64,8,387,2,41:32.0
635,Pinguipedidae,GÃ¼nther 1860,sandperches,sandperches,Actinopteri,Perciformes,Trachinoidei,Pinguipedidae,NULL,NULL,8,64,8,388,NULL,41:43.0
933,Cheimarrichthyidae,Regan 1913,New Zealand torrentfishes,NULL,Actinopteri,Perciformes,Trachinoidei,Cheimarrichthyidae,NULL,NULL,8,64,8,388.2,NULL,41:28.0
353,Tripterygiidae,Whitley 1931,threefin blennies,blennies;threefin,Actinopteri,Blenniiformes,NULL,Tripterygiidae,NULL,NULL,8,55,NULL,390.1,NULL,59:33.0
1012,Notoclininae,Fricke 2009,NULL,NULL,Actinopteri,Blenniiformes,NULL,Tripterygiidae,Notoclininae,NULL,8,55,NULL,390.1,2,59:05.0
1013,Tripterygiinae,Whitley 1931,NULL,NULL,Actinopteri,Blenniiformes,NULL,Tripterygiidae,Tripterygiinae,NULL,8,55,NULL,390.1,5,59:41.0
355,Labrisomidae,Clark Hubbs 1952,labrisomids,labrisomids,Actinopteri,Blenniiformes,NULL,Labrisomidae,NULL,NULL,8,55,NULL,390.2,NULL,58:55.0
356,Clinidae,Swainson 1839,clinids and klipfishes,clinids/klipfishes,Actinopteri,Blenniiformes,NULL,Clinidae,NULL,NULL,8,55,NULL,390.3,NULL,58:29.0
357,Chaenopsidae,Gill 1865,pikeblennies,pikeblennies,Actinopteri,Blenniiformes,NULL,Chaenopsidae,NULL,NULL,8,55,NULL,390.4,NULL,58:20.0
354,Dactyloscopidae,Gill 1859,sand stargazers,stargazers;sand,Actinopteri,Blenniiformes,NULL,Dactyloscopidae,NULL,NULL,8,55,NULL,391,NULL,58:46.0
358,Blenniidae,Rafinesque 1810,blennies,blennies,Actinopteri,Blenniiformes,NULL,Blenniidae,NULL,NULL,8,55,NULL,395,NULL,57:28.0
1009,Blenniinae,Rafinesque 1810,NULL,NULL,Actinopteri,Blenniiformes,NULL,Blenniidae,Blenniinae,NULL,8,55,NULL,395,2,57:35.0
1010,Salariinae,Gill 1859,salariid blennies,NULL,Actinopteri,Blenniiformes,NULL,Blenniidae,Salariinae,NULL,8,55,NULL,395,5,59:14.0
362,Callionymidae,Bonaparte 1831,dragonets,dragonets,Actinopteri,Perciformes,Callionymoidei,Callionymidae,NULL,NULL,8,64,13,399,NULL,44:44.0
363,Draconettidae,Jordan & Fowler 1903,draconettids,draconettids,Actinopteri,Perciformes,Callionymoidei,Draconettidae,NULL,NULL,8,64,13,400,NULL,44:57.0
364,Rhyacichthyidae,Jordan 1905,loach gobies,gobies;loach,Actinopteri,Gobiiformes,NULL,Rhyacichthyidae,NULL,NULL,8,48.4,NULL,401,NULL,05:15.0
716,Odontobutidae,Hoese & Gill 1993,Asian freshwater sleepers,NULL,Actinopteri,Gobiiformes,NULL,Odontobutidae,NULL,NULL,8,48.4,NULL,401.1,NULL,10:36.0
365,Eleotridae,Bonaparte 1835,sleepers,sleepers,Actinopteri,Gobiiformes,NULL,Eleotridae,NULL,NULL,8,48.4,NULL,402,NULL,03:35.0
881,Butinae,Bleeker 1874,gudgeons,NULL,Actinopteri,Gobiiformes,NULL,Eleotridae,Butinae,NULL,8,48.4,NULL,402,1,03:27.0
882,Eleotrinae,Bonaparte 1835,bullies,NULL,Actinopteri,Gobiiformes,NULL,Eleotridae,Eleotrinae,NULL,8,48.4,NULL,402,2,03:43.0
1070,Milyeringinae,Whitley 1945,freshwater cave gobies,NULL,Actinopteri,Gobiiformes,NULL,Eleotridae,Milyeringinae,NULL,8,48.4,NULL,402,6,04:40.0
1056,Thalasseleotrididae,Gill & Mooi 2012,ocean sleepers,NULL,Actinopteri,Gobiiformes,NULL,Thalasseleotrididae,NULL,new 2012,8,48.4,NULL,402.5,NULL,05:39.0
366,Gobiidae,Cuvier 1816,gobies,gobies,Actinopteri,Gobiiformes,NULL,Gobiidae,NULL,NULL,8,48.4,NULL,403,NULL,03:51.0
773,Sicydiinae,Gill 1860,rock-climbing gobies,NULL,Actinopteri,Gobiiformes,NULL,Gobiidae,Sicydiinae,NULL,8,48.4,NULL,403,1,05:31.0
774,Gobionellinae,Bleeker 1874,oxudercids,NULL,Actinopteri,Gobiiformes,NULL,Gobiidae,Gobionellinae,NULL,8,48.4,NULL,403,2,04:08.0
781,Oxudercinae,GÃ¼nther 1861,mudskippers and allies,NULL,Actinopteri,Gobiiformes,NULL,Gobiidae,Oxudercinae,NULL,8,48.4,NULL,403,3,04:57.0
782,Amblyopinae,GÃ¼nther 1861,mudburrowing gobies,NULL,Actinopteri,Gobiiformes,NULL,Gobiidae,Amblyopinae,NULL,8,48.4,NULL,403,4,03:15.0
783,Gobiinae,Cuvier 1816,gobies,NULL,Actinopteri,Gobiiformes,NULL,Gobiidae,Gobiinae,NULL,8,48.4,NULL,403,5,03:59.0
367,Kraemeriidae,Whitley 1935 (1911),sand darts,darts;sand,Actinopteri,Gobiiformes,NULL,Kraemeriidae,NULL,NULL,8,48.4,NULL,406,NULL,04:16.0
368,Microdesmidae,Regan 1912,wormfishes,NULL,Actinopteri,Gobiiformes,NULL,Microdesmidae,NULL,NULL,8,48.4,NULL,407,NULL,04:24.0
963,Ptereleotrinae,Bleeker 1875,dart-gobies,NULL,Actinopteri,Gobiiformes,NULL,Microdesmidae,Ptereleotrinae,From Hoese 2006,8,48.4,NULL,407,2,05:05.0
966,Microdesminae,Regan 1912,NULL,NULL,Actinopteri,Gobiiformes,NULL,Microdesmidae,Microdesminae,NULL,8,48.4,NULL,407,1,04:32.0
659,Xenisthmidae,Miller 1973,collared wrigglers,NULL,Actinopteri,Gobiiformes,NULL,Xenisthmidae,NULL,NULL,8,48.4,NULL,407.5,NULL,05:48.0
360,Schindleriidae,Giltay 1934,infantfishes,NULL,Actinopteri,Gobiiformes,NULL,Schindleriidae,NULL,NULL,8,48.4,NULL,407.6,NULL,05:23.0
276,Pomatomidae,Gill 1863,bluefishes,bluefishes,Actinopteri,Scombriformes,Scombroidei,Pomatomidae,NULL,NULL,8,48.1,2,410.1,NULL,57:27.0
380,Centrolophidae,Bonaparte 1846,medusafishes,medusafishes,Actinopteri,Scombriformes,Scombroidei,Centrolophidae,NULL,NULL,8,48.1,2,410.3,NULL,55:53.0
