JourID,JOUR,JOUR_NAME,FULL_NAME,CALLNUMBER,REMARKS,TimeStamp
112,BFFHU,Bulletin of the Faculty of Fisheries Hokkaido University,NULL,NULL,"Hakodate.  ISSN 0018-3458.  Transliteration: ""Hokkaido Daigaku Suisan Gakubu Kenkyu Iho""",25:28.0
113,BFSFRL,Bulletin Far Seas Fisheries Research Laboratory (Shimizu),Bulletin Far Seas Fisheries Research Laboratory (Shimizu),NULL,NULL,37:08.0
114,BFSMBS,"Bulletin of the Florida State Museum, Biological Sciences",NULL,NULL,Gainesville.  Continued as: Bulletin of the Florida Museum of Natureal History Biological Sciences  ISSN 0071-6154.,28:25.0
119,BIFOANA,Bulletin de l'Institut Fondamental d'Afrique Noire (Serie A) Sciences Naturelles,Bulletin de l'Institut Fondamental d'Afrique Noire (Serie A) Sciences Naturelles,NULL,"Dakar.  ISSN 0018-9634.  Continues ""Bulletin de l'Institut Francais d'Afrique Noire Serie A Sciences Naturelles""",29:49.0
120,BIFANA,Bulletin de l'Institut FranÃ§ais d'Afrique Noire (SÃ©r A) Sciences Naturelles,Bulletin de l'Institut Francais d'Afrique Noire (SÃ©rie A) Sciences Naturelles,NULL,"Continues in part ""Bull. Inst. Fr. Afr. Noire""  Continued as ""Bull. Inst. Fondam. Afr. Noire Ser. A Sci. Nat.""",16:41.0
121,BIFAN,Bulletin de l'Institut FranÃ§ais d'Afrique Noire,NULL,NULL,"Continued in parts as ""Bulletin de l'Institut Francais d'Afrique Noire Serie A Sciences Naturelles"" and ""Serie B Sciences",37:45.0
122,BINSTOP,Bulletin de l'Institut National Scientifique et Technique d'OcÃ©anographie et de PÃªche de Salammbo,Bulletin de l'Institut National Scientifique et Technique d'Oceanographie et de Peche de Salammbo,NULL,ISSN 0330-0080.,28:46.0
123,BIOM,Bulletin de l'Institut OcÃ©anographique (Monaco),NULL,NULL,No. 1.1904 - 87.1906.  ISSN 0304-5722.,22:01.0
124,BIPMM,Bulletin de l'Institut des Peches Maritimes du Maroc,NULL,NULL,NULL,37:49.0
125,BIRSNB,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique,NULL,"Continues ""Bull. Mus. R. Sci. Nat. Belg."" Continued in parts as ""Bull. Inst. R. Sci. Nat. Belg. Biol."", ""...Entom."" & ""...Sci.",38:16.0
126,BIRSNBB,"Bulletin de l'Institut Royal des Sciences de Belgique, Biologie",Bulletin de l'Institut Royal des Sciences Naturelles de Belgique Biologie,NULL,"Brussels.  ISSN 0374-6429.  Continues in part ""Bulletin Institut Royal de Sciences Naturelles de Belgique""",17:41.0
128,BIZAS,Bulletin of the Institute of Zoology Academia Sinica (Taipei),Bulletin of the Institute of Zoology Academia Sinica (Taipei),QL1 .A24,"ISSN 0001-3943.  Transliteration: ""Chung Yang Yen Chiu Yuan Tung Wu Yen Chiu So Chi K'an""",34:54.0
130,BJSSF,Bulletin of the Japanese Society of Scientific Fisheries,NULL,NULL,"ISSN 0021-5392.  Translation of ""Nihon Suisan Gakkai-Shi"" or ""Nippon Suisan Gakkaishi"".",36:15.0
132,BMS,Bulletin of Marine Science,NULL,GC1 .B8,"ISSN 0007-4977.  Continues ""Bulletin of Marine Science of the Gulf and Caribbean"".  v.1(1951).",37:39.0
133,BMSGC,Bulletin of Marine Science of the Gulf and Caribbean,NULL,NULL,"Continued as ""Bulletin of Marine Science""",39:09.0
134,BMSLL,Bulletin Mensuel de la SociÃ©tÃ© LinnÃ©enne de Lyon,NULL,NULL,ISSN 0366-1328.,38:20.0
135,BMMBIKU,"Bulletin of the Misaki Marine Biological Institute, Kyoto University",Bulletin of the Misaki Marine Biological Institute Kyoto University,NULL,NULL,32:17.0
136,BMOIPOB,Byulleten Moskovskogo Obshchestva Ispytatelei Prirody Otdel Biologicheskii [Bulletin of the Moscow Society of Naturalists Biological Series],Byulleten Moskovskogo Obshchestva Ispytatelei Prirody Otdel Biologicheskii [Bull. Moscow Soc. Naturalists Biol. Ser.],NULL,Moscow.  ISSN 0027-1403.,18:32.0
137,BMCZ,Bulletin of the Museum of Comparative Zoology,NULL,QL1 .H3,"Cambridge.  ISSN 0027-4100.  Continues ""Bulletin of the Museum of Comparative Zoology at Harvard University"".",41:17.0
139,BMNHN4A,"Bulletin du Museum National d'Histoire Naturelle, SÃ©rie 4: Section A: Zoologie, Biologie et Ã‰cologie Animales",Bulletin du Museum National d'Histoire Naturelle Ser. 4: Section A: Zoologie Biologie et Ecologie Animales.,CAS QL1.P37,"Formed by merger of ""Bull. Mus Natl. Hist. Nat. Ecol. Gen."" & ""... Zoologie""=  ""B.M.N.H.N. Ser. 4 Sect. A"" 1979-present.",27:41.0
141,BMNHN1,Bulletin du MusÃ©um National d'Histoire Naturelle (SÃ©rie 1),Bulletin du MusÃ©um National d'Histoire Naturelle (SÃ©rie 1),QH3 .P34.,This series goes 1895 (v.1)-1928 (v.34). Series 2 starts in 1929.,39:54.0
142,BMNHN2,Bulletin du MusÃ©um National d'Histoire Naturelle (SÃ©rie 2),Bulletin du MusÃ©um National d'Histoire Naturelle (SÃ©rie 2),QH3.P34,Series 1 ends in 1928.  This series from 1929 (v.1)-1970 (v.42).,40:15.0
143,BMNHNZ,Bulletin du Museum National d'Histoire Naturelle Zoologie,NULL,NULL,"Supersedes in part ""B.M.N.H.N."" Merged to form ""B.M.N.H.N. Sect. A Zool. Biol. Ecol. Anim."" Same as ""B.M.N.H.N. Ser. 3 Zool."" 1971-1978",40:32.0
145,ARSSLGZ,Acta Regiae Societatis Scientiarum et Litterarum Gothoburgensis Zoologica,Acta Rediae Societatis Scientiarum et Litterarum Gothogurgensis Zoologica,NULL,"Supersedes in part ""Goteborgs Kungliga Vetenskaps Och Vitter Hets-Samhalles Handlingar Sjatte Foljden Series B""",10:54.0
148,ACTAZS,Acta Zoologica (Stockholm),NULL,NULL,"Stockholm, Copenhagen.  ISSN 0001-7272.  Absorbed ""Zoon"" and ""Zoon Supplement""",44:03.0
149,AZB,Acta Zoologica Bulgarica,NULL,QL1 .A25,NULL,26:16.0
150,AZS,Acta Zoologica Sinica,NULL,NULL,Beijing.  ISSN 1000-0739.  Transliteration: Tung Wu Hsueh Pao.,35:36.0
151,AFSSP,"American Fisheries Society, Special Publication",NULL,NULL,Bethesda.  ISSN 0097-0638.,25:05.0
153,AMIDNAT,American Midland Naturalist,NULL,QH1 .A44,Notre Dame.  ISSN 0003-0031.,29:32.0
154,AMN,American Museum Novitates,NULL,QH 1 .A5A16,New York.  ISSN 0003-0082.  Available online.,33:59.0
155,AMNAT,American Naturalist,NULL,QH1 .A52,Chicago.  ISSN 0003-0147.  Available online.,38:05.0
156,AMSCI,American Scientist,NULL,Q1 .S53,"Research Triangle Park, NC.  ISSN 0003-0996.",49:06.0
158,AMAZON,Amazoniana,NULL,QH112 .A46,Kiel.  ISSN 0065-6755.,50:19.0
161,AABC,Anais da Academia Brasileira de CiÃ©ncias,NULL,Q33 .A52,Rio de Janeiro.  ISSN 0001-3765.,53:12.0
163,AENCBM,"Anales de la Escuela Nacional de Ciencias BiolÃ³gicas, MÃ©xico",Anales de la Escuela Nacional de Ciencias Biologicas Mexico,QH301 .A48,Mexico City.  ISSN 0365-1932.,19:40.0
164,AJIU,"Anais, Junta das MissÃµes GeogrÃ¡ficas e de InvestigaÃ§Ãµes do Ultramar, Estudos de Biologia MarÃ­tima",NULL,NULL,"Continues as ""Portugal Junta das Missoes Geograficas e de Investigacoes Coloniais Anais""",26:59.0
166,ASBB,"ASB (Association of Southeastern Biologists) Bulletin, Capel Hill, NC.",NULL,NULL,NULL,26:13.0
167,ADAWB,Abhandlungen der KÃ¶niglichen Akademie der Wissenschaften zu Berlin,Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin,NULL,NULL,44:32.0
169,ASNG,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,QH5 .S45,Frank-am-Main.  ISSN 0365-7000.,54:29.0
170,AVNVH,"Abhandlungen und Verhandlungen des Naturwissenschaftlichen Vereins in Hamburg, Neue Folge",Abhandlungen und Verhandlungen des Naturwissenschaftlichen Vereins in Hamburg,NULL,"Continued as ""Verhandlungen des Naturwissenschaftlichen Vereins in Hamburg""",09:06.0
171,ACTAM,Acta Amazonica,NULL,NULL,"Manaus.  ISSN 0044-5967.  Supersedes ""Boletim do inpa (Instituto Nacional de Pesquisas da Amazonia) Patologia Tropical Pesquisas Florestais"" and ""Tecnologia"".  Available online.",55:49.0
172,ABV,Acta Biologica Venezuelica,NULL,QH7 .A52,Caracas.  ISSN 0001-5326.,56:46.0
173,ACV,Acta Cientifica Venezolana,NULL,NULL,Caracas.  ISSN 0001-5504.,57:29.0
177,AMMSN,Acta Musei Macedonici Scientiarum Naturalium,NULL,NULL,Skopje.  ISSN 0583-4988.,58:44.0
178,ANAP,Acta Naturalia de l'Ateneo Parmense,NULL,NULL,"Parma.  ISSN 0392-419X.  Continues as ""Ateneo Parmense Acta Naturalia""",59:44.0
179,APP,Acta Palaeontologica Polonica,NULL,QE701 .A25,Warsaw.  ISSN 0567-7920.,00:24.0
182,ASCA,Anales de la Sociedad Cientifica Argentina,NULL,NULL,NULL,23:13.0
186,ACPMNH,Annals of the Cape Provincial Museums (Natural History),Annals of the Cape Provincial Museums (Natural History),QH1 .A554 V. 1-present [cjf],Grahamstown.  ISSN 0570-1880.,02:39.0
187,ACM,Annals of the Carnegie Museum,NULL,CAS 36 .P7,Pittsburgh.  ISSN 0097-4463.  Also available online.,30:41.0
188,ADM,Annals of the Durban Museum,NULL,CAS QL1 D87.,Later as: Durban Museum Novities.  ISSN 0012-723X.,05:00.0
189,AHNMNH,Annales Historico-Naturales Musei Nationalis Hungarici,NULL,506 H899 MA,Budapest.  ISSN 0521-4726.,06:01.0
